Mon Sep  2 18:04:27 2024    profiler_stats.prof

         4895102 function calls (4595255 primitive calls) in 5.436 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
27918/12031    0.015    0.000    0.107    0.000 _utils.py:44(__str__)
     1025    0.003    0.000    0.107    0.000 values.py:1172(descr)
       33    0.000    0.000    0.102    0.003 untyped_passes.py:79(run_pass)
    10366    0.008    0.000    0.101    0.000 ffi.py:72(__enter__)
31523/29657    0.015    0.000    0.099    0.000 {built-in method builtins.next}
     9643    0.047    0.000    0.099    0.000 {built-in method builtins.sorted}
184573/184310    0.046    0.000    0.099    0.000 {built-in method builtins.getattr}
    12259    0.013    0.000    0.099    0.000 event.py:390(start_event)
       34    0.000    0.000    0.095    0.003 untyped_passes.py:244(run_pass)
     8770    0.015    0.000    0.094    0.000 values.py:544(_to_string)
     3272    0.017    0.000    0.093    0.000 targetconfig.py:196(values)
        1    0.000    0.000    0.092    0.092 listobj.py:926(list_extend)
      2/1    0.000    0.000    0.092    0.092 setobj.py:444(_add_key)
    10366    0.005    0.000    0.091    0.000 base.py:1246(enter_fn)
       27    0.000    0.000    0.088    0.003 typed_passes.py:226(run_pass)
     2560    0.087    0.000    0.087    0.000 win32.py:177(SetConsoleMode)
        2    0.000    0.000    0.086    0.043 setobj.py:193(_lookup)
        2    0.000    0.000    0.086    0.043 lowering.py:273(create_cpython_wrapper)
        2    0.000    0.000    0.086    0.043 cpu.py:181(create_cpython_wrapper)
       34    0.000    0.000    0.081    0.002 ssa.py:27(reconstruct_ssa)
       34    0.000    0.000    0.080    0.002 ssa.py:48(_run_ssa)
     8428    0.004    0.000    0.078    0.000 ir.py:608(list_vars)
      243    0.000    0.000    0.077    0.000 misc.py:87(maybe_literal)
       33    0.000    0.000    0.074    0.002 untyped_passes.py:212(run_pass)
       40    0.001    0.000    0.072    0.002 ir.py:112(strformat)
     1228    0.002    0.000    0.071    0.000 context.py:360(_call_incref_decref)
      284    0.001    0.000    0.071    0.000 postproc.py:52(deadmaps)
      174    0.001    0.000    0.070    0.000 module.py:11(parse_assembly)
     2723    0.003    0.000    0.068    0.000 module.py:220(__next__)
9340/8401    0.006    0.000    0.067    0.000 contextlib.py:132(__enter__)
2555/1228    0.005    0.000    0.066    0.000 context.py:343(get_meminfos)
      424    0.002    0.000    0.065    0.000 npydecl.py:196(generic)
      428    0.003    0.000    0.062    0.000 npydecl.py:92(generic)
      126    0.000    0.000    0.062    0.000 ir.py:1542(infer_constant)
  150/126    0.000    0.000    0.061    0.000 consts.py:24(infer_constant)
        2    0.000    0.000    0.061    0.030 callwrapper.py:101(build)
        2    0.000    0.000    0.060    0.030 callwrapper.py:126(build_wrapper)
       36    0.000    0.000    0.060    0.002 errors.py:698(__init__)
1882/1685    0.002    0.000    0.060    0.000 ir_utils.py:1542(guard)
        1    0.000    0.000    0.059    0.059 untyped_passes.py:1327(run_pass)
  136/112    0.000    0.000    0.059    0.001 consts.py:56(_do_infer)
        2    0.000    0.000    0.059    0.029 untyped_passes.py:1041(apply_transform)
    76317    0.034    0.000    0.057    0.000 targetconfig.py:111(getter)
       34    0.001    0.000    0.056    0.002 ssa.py:146(_find_defs_violators)
       63    0.000    0.000    0.055    0.001 codegen.py:719(add_linking_library)
      782    0.000    0.000    0.055    0.000 context.py:384(decref)
        1    0.000    0.000    0.054    0.054 untyped_passes.py:1221(unroll_loop)
        4    0.000    0.000    0.053    0.013 setobj.py:233(check_entry)
     8390    0.013    0.000    0.052    0.000 instructions.py:13(__init__)
9340/8412    0.006    0.000    0.051    0.000 contextlib.py:141(__exit__)
      654    0.001    0.000    0.051    0.000 base.py:42(find)
        4    0.000    0.000    0.050    0.012 tupleobj.py:58(tuple_eq)
  258/242    0.001    0.000    0.049    0.000 base.py:526(get_function)
    12068    0.009    0.000    0.049    0.000 values.py:537(__init__)
       32    0.000    0.000    0.049    0.002 base.py:707(generic_compare)
      197    0.000    0.000    0.048    0.000 base.py:49(_find)
       15    0.000    0.000    0.048    0.003 callwrapper.py:20(add_arg)
      891    0.001    0.000    0.047    0.000 targetconfig.py:190(__eq__)
     1889    0.002    0.000    0.045    0.000 module.py:251(_next)
