GUID,Column Mark No,X,Y,Z Base,Z Top,Type Name,Shape,B,H
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a15e,,55116.52,-12822,20050.09,26300,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a15f,,41406.52,-29886.98,19025,26550,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a160,,50556.52,-29886.98,19025,23280,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a16a,,12916.52,-12922,20050.06,23280.01,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a16b,,50556.52,-22122,20050.09,26300,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a18c,,32406.52,-12822,23280.01,26300,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a18f,,32406.52,-19742,23280.01,26300,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a190,,12916.52,-19122,23280.01,26300,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a191,,12916.52,-28362,23280,26300,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a19c,,50556.52,-29886.98,23280,26549.88,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1a6,,12916.52,-12922,23280.01,26300,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1ab,,63616.52,-20972,22890,26300,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1b7,,23006.52,-5172,26549.9,29150,Column Rectangular Concrete_HERA22,Rectangle,1200,1200
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1c0,,32406.52,-12822,26549.9,29550.03,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1c3,,32406.52,-19742,26549.9,29550.03,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1c4,,12916.52,-19122,26549.9,29550.03,Column Rectangular Concrete_HERA22,Rectangle,800,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1c5,,12916.52,-28362,26549.88,29550.01,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1c8,,21316.52,-28362,26549.88,29550.01,Column Rectangular Concrete_HERA22,Rectangle,500,1000
cb889803-067b-4ec1-a0d2-92177ebcc65f-0015a1c9,,24006.52,-28362,26549.88,29550.01,Column Rectangular Concrete_HERA22,Rectangle,500,1000
