,NAME,PROPNAME,STORY,X,Y,POINT 2X,POINT 2Y,Label,Z Base,Level,ret,Section
602,540,CC_1000x500_N80,L2,0.0,11.35,26.55,0.0,C116,29.55,L2,0,CC_1000x500_N80
603,578,CC_1000x500_N80,L1,0.0,11.35,23.28,0.0,C116,26.55,L1,0,CC_1000x500_N80
604,905,CC_1000x1000_N65,B1,-19.990000000000002,5.8,13.25,-19.990000000000002,C126,16.35,B1,0,CC_1000x1000_N65
605,906,CC_1000x500_N80,GL,0.0,11.35,16.35,0.0,C116,20.05,GL,0,CC_1000x500_N80
606,907,CC_1000x500_N80,B1,0.0,11.35,13.25,0.0,C116,16.35,B1,0,CC_1000x500_N80
607,2,CC_750DIA_N65,L6,22.555,7.5,40.9,22.555,C98,44.35,L6,0,CC_750DIA_N65
608,10,CC_750DIA_N65,L35 RT,22.555,7.5,141.5,22.555,C98,146.65,L35 RT,0,CC_750DIA_N65
609,121,CC_750DIA_N65,L34 RTU,22.555,7.5,138.8,22.555,C98,141.5,L34 RTU,0,CC_750DIA_N65
610,323,CC_750DIA_N65,L33,22.555,7.5,134.05,22.555,C98,138.8,L33,0,CC_750DIA_N65
611,331,CC_750DIA_N65,L32,22.555,7.5,130.6,22.555,C98,134.05,L32,0,CC_750DIA_N65
612,420,CC_750DIA_N65,L31,22.555,7.5,127.15,22.555,C98,130.6,L31,0,CC_750DIA_N65
613,422,CC_750DIA_N65,L30,22.555,7.5,123.7,22.555,C98,127.15,L30,0,CC_750DIA_N65
614,693,CC_750DIA_N65,L29,22.555,7.5,120.25,22.555,C98,123.7,L29,0,CC_750DIA_N65
615,876,CC_750DIA_N65,L28,22.555,7.5,116.8,22.555,C98,120.25,L28,0,CC_750DIA_N65
616,903,CC_750DIA_N65,L27,22.555,7.5,113.35000000000001,22.555,C98,116.8,L27,0,CC_750DIA_N65
617,904,CC_750DIA_N65,L26,22.555,7.5,109.9,22.555,C98,113.35000000000001,L26,0,CC_750DIA_N65
618,908,CC_750DIA_N65,L25,22.555,7.5,106.45,22.555,C98,109.9,L25,0,CC_750DIA_N65
619,909,CC_750DIA_N65,L24,22.555,7.5,103.0,22.555,C98,106.45,L24,0,CC_750DIA_N65
620,910,CC_750DIA_N65,L23,22.555,7.5,99.55,22.555,C98,103.0,L23,0,CC_750DIA_N65
621,911,CC_750DIA_N65,L22,22.555,7.5,96.10000000000001,22.555,C98,99.55,L22,0,CC_750DIA_N65
622,912,CC_750DIA_N65,L21,22.555,7.5,92.65,22.555,C98,96.10000000000001,L21,0,CC_750DIA_N65
623,913,CC_750DIA_N65,L20,22.555,7.5,89.2,22.555,C98,92.65,L20,0,CC_750DIA_N65
